                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2701,                 4.0284,                 1.3133,                0.01025,                0.73333,                0.09806,                0.08769,                0.67939,                 3.8853,                0.95891,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 1.0738,                 3.9201,                 1.1894,                0.01123,                0.75833,                0.14466,                 0.1248,                0.67975,                 3.8708,                0.95071,              2.718e-05,              2.718e-05,              2.718e-05
                      3,                 1.0935,                 3.9488,                 1.2005,                0.01092,                0.69167,                0.19433,                0.16532,                0.69016,                 3.8729,                0.95572,              4.515e-05,              4.515e-05,              4.515e-05
                      4,                 1.3097,                 3.9008,                 1.3422,                0.01272,                0.71667,                0.23494,                0.18682,                0.71479,                 3.8495,                0.94406,                6.3e-05,                6.3e-05,                6.3e-05
                      5,                0.96255,                 3.7508,                 1.1386,                0.01445,                0.78333,                0.23588,                0.17998,                0.79381,                 3.8257,                  0.938,              8.073e-05,              8.073e-05,              8.073e-05
                      6,                 1.0327,                 3.5922,                 1.1863,                0.01511,                0.78333,                 0.2691,                0.21172,                0.85271,                 3.8072,                0.95195,              9.834e-05,              9.834e-05,              9.834e-05
                      7,                 1.0675,                  3.513,                 1.1306,                0.01604,                0.78333,                0.26363,                0.19736,                0.92015,                 3.7761,                0.97469,             0.00011583,             0.00011583,             0.00011583
                      8,                0.97624,                 3.3182,                  1.087,                0.01657,                0.78333,                0.28594,                0.21429,                0.95526,                 3.7308,                0.97504,              0.0001332,              0.0001332,              0.0001332
                      9,                 1.1124,                 2.9805,                 1.1011,                0.01726,                0.78333,                0.29115,                0.22351,                0.91514,                 3.7138,                 0.9611,             0.00015045,             0.00015045,             0.00015045
                     10,                0.93566,                  2.871,                 1.0091,                0.01842,                0.78333,                0.28197,                0.22893,                0.88277,                 3.6881,                0.95645,             0.00016758,             0.00016758,             0.00016758
                     11,                0.92308,                 2.7043,                 1.0919,                0.02064,                0.80833,                0.32908,                 0.2704,                0.85147,                  3.648,                0.95363,             0.00018459,             0.00018459,             0.00018459
                     12,                0.97571,                 2.6171,                 1.1306,                0.02088,                0.80833,                0.34095,                0.28261,                0.83989,                  3.596,                0.95561,             0.00020148,             0.00020148,             0.00020148
                     13,                0.84717,                 2.4308,                 0.9948,                0.02217,                0.80833,                0.39276,                 0.3262,                 0.8242,                 3.5399,                0.95954,             0.00021825,             0.00021825,             0.00021825
                     14,                0.88301,                 2.3773,                 0.9678,                0.02646,                0.85833,                0.38308,                0.31745,                0.82377,                  3.497,                0.94742,              0.0002349,              0.0002349,              0.0002349
                     15,                0.87541,                 2.4712,                 1.0453,                0.85507,                0.20912,                0.39745,                0.32056,                0.81646,                 3.4547,                 0.9379,             0.00025143,             0.00025143,             0.00025143
                     16,                0.88379,                 2.5525,                 1.0387,                0.82036,                  0.125,                0.34906,                0.28469,                0.83225,                   3.41,                0.93828,             0.00026784,             0.00026784,             0.00026784
                     17,                0.81682,                 2.7157,                0.95155,                0.98844,                    0.1,                0.33439,                0.27371,                0.86449,                 3.4136,                0.94601,             0.00028413,             0.00028413,             0.00028413
                     18,                0.94964,                 2.3768,                 1.0143,                0.99227,                    0.1,                0.35214,                0.28039,                0.88679,                 3.4395,                0.96003,              0.0003003,              0.0003003,              0.0003003
                     19,                0.91759,                 2.5235,                 1.0378,                0.99347,                    0.1,                0.39661,                0.30182,                0.88576,                 3.4299,                0.97155,             0.00031635,             0.00031635,             0.00031635
                     20,                0.91671,                 2.1503,                 1.0145,                0.99303,                    0.1,                0.37774,                 0.2759,                 0.8921,                 3.4594,                0.98179,             0.00033228,             0.00033228,             0.00033228
                     21,                 0.7387,                 1.9319,                0.96809,                0.90649,                    0.1,                0.34773,                0.26929,                0.91609,                 3.4165,                0.98853,             0.00034809,             0.00034809,             0.00034809
                     22,                0.92815,                 2.1191,                 1.1309,                0.90933,                    0.1,                0.34548,                0.26102,                0.95663,                 3.3658,                0.99579,             0.00036378,             0.00036378,             0.00036378
                     23,                0.83292,                  1.855,                0.96549,                0.81157,                0.12518,                0.34136,                 0.2627,                0.98656,                 3.3886,                 1.0386,             0.00037935,             0.00037935,             0.00037935
                     24,                0.84085,                 1.6995,                 1.0077,                 0.8318,                  0.125,                0.32403,                0.24846,                0.97985,                 3.4225,                  1.073,              0.0003948,              0.0003948,              0.0003948
